Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Rod Smith*,DEN,31,WR,2001,15,14,172,113,65.70%,1343,11.9,11,75,57.6,65,7.8,7.5,89.5,1,SmitRo01
2,Jimmy Smith*,JAX,32,WR,2001,16,16,176,112,63.60%,1373,12.3,8,69,53.4,35,7.8,7,85.8,1,SmitJi00
3,Marvin Harrison*,IND,29,WR,2001,16,16,164,109,66.50%,1524,14,15,74,60.4,68,9.3,6.8,95.3,0,HarrMa00
4,Keyshawn Johnson*,TAM,29,WR,2001,15,15,180,106,58.90%,1266,11.9,1,67,48.3,47,7,7.1,84.4,2,JohnKe00
5,Troy Brown*,NWE,30,WR,2001,16,13,142,101,71.10%,1199,11.9,5,60,61.3,60,8.4,6.3,74.9,2,BrowTr00
6,Marty Booker,CHI,25,WR,2001,16,16,157,100,63.70%,1071,10.7,8,58,50.3,66,6.8,6.3,66.9,2,BookMa00
7,David Boston*+,ARI,23,WR,2001,16,15,175,98,56.00%,1598,16.3,8,72,46.9,61,9.1,6.1,99.9,1,BostDa00
8,Hines Ward*,PIT,25,WR,2001,16,16,145,94,64.80%,1003,10.7,4,52,53.8,34,6.9,5.9,62.7,1,WardHi00
9,Keenan McCardell,JAX,31,WR,2001,16,16,145,93,64.10%,1110,11.9,6,58,55.9,45,7.7,5.8,69.4,1,McCaKe00
10,Terrell Owens*+,SFO,28,WR,2001,16,16,155,93,60.00%,1412,15.2,16,71,53.5,60,9.1,5.8,88.3,0,OwenTe00
11,Tim Brown*,OAK,35,WR,2001,16,16,140,91,65.00%,1165,12.8,9,61,58.6,46,8.3,5.7,72.8,1,BrowTi00
12,Kevin Johnson,CLE,25,WR,2001,16,16,129,84,65.10%,1097,13.1,9,54,55,55,8.5,5.3,68.6,2,JohnKe01
13,Marshall Faulk*+,STL,28,RB,2001,14,14,104,83,79.80%,765,9.2,9,40,62.5,65,7.4,5.9,54.6,3,FaulMa00
14,Joe Horn*,NOR,29,WR,2001,16,16,156,83,53.20%,1265,15.2,9,58,44.2,56,8.1,5.2,79.1,1,HornJo00
15,Jerry Rice,OAK,39,WR,2001,16,15,125,83,66.40%,1139,13.7,9,62,64,40,9.1,5.2,71.2,1,RiceJe00
16,Randy Moss,MIN,24,WR,2001,16,16,154,82,53.20%,1233,15,10,59,46.8,73,8,5.1,77.1,0,MossRa00
17,Torry Holt*,STL,25,WR,2001,16,14,133,81,60.90%,1363,16.8,7,58,54.9,51,10.2,5.1,85.2,2,HoltTo00
18,Willie Jackson,NOR,30,WR,2001,16,16,135,81,60.00%,1046,12.9,5,54,50.4,63,7.7,5.1,65.4,0,JackWi00
19,Larry Centers*,BUF,33,FB,2001,16,13,105,80,76.20%,620,7.8,2,34,48.6,26,5.9,5,38.8,2,CentLa00
20,Johnnie Morton,DET,30,WR,2001,16,16,144,77,53.50%,1154,15,4,58,48.6,76,8,4.8,72.1,1,MortJo00
21,Qadry Ismail,BAL,31,WR,2001,16,15,134,74,55.20%,1059,14.3,7,50,48.5,77,7.9,4.6,66.2,1,IsmaQa00
22,Cris Carter,MIN,36,WR,2001,16,16,130,73,56.20%,871,11.9,6,45,46.9,52,6.7,4.6,54.4,2,CartCr00
23,Tony Gonzalez*+,KAN,25,TE,2001,16,16,118,73,61.90%,917,12.6,6,49,55.1,36,7.8,4.6,57.3,0,GonzTo00
